10,0,76557.6,6031.41,34651.26,38382.49,47097.61,9770.76
30,0,76557.6,33,34651.26,38382.49,47097.61,76.66
50,0,76557.6,4.67,34651.26,38382.49,47097.61,10.71
50,21,76763.9,4.67,34812.16,38446.92,47146.89,13.55
50,24,76827.16,6.34,34900.5,38485.22,47188.04,13.55
60,0,76557.6,4.67,439.65,38382.49,47097.61,10.71
60,21,76763.9,4.67,479.37,38446.92,47146.89,13.55
60,24,76827.16,6.34,494.98,38485.22,47188.04,13.55
70,0,3000.04,0.91,439.65,38382.49,47097.61,10.71
70,21,3081.31,0.91,479.37,38446.92,47146.89,13.55
70,24,3087.59,1.87,494.98,38485.22,47188.04,13.55
80,0,3000.04,0.91,439.65,38382.49,47097.61,2.85
80,21,3081.31,0.91,479.37,38446.92,47146.89,4.14
80,24,3087.59,1.87,494.98,38485.22,47188.04,4.14
90,0,3000.04,0.25,439.65,38382.49,47097.61,2.85
90,21,3081.31,0.25,479.37,38446.92,47146.89,4.14
90,24,3087.59,0.9,494.98,38485.22,47188.04,4.14
90,42,3094.4,0.9,502.69,38493.06,47196.65,4.47
100,21,3081.31,0.25,479.37,38446.92,47146.89,1.79
100,24,3087.59,0.9,494.98,38485.22,47188.04,1.79
100,42,3094.4,0.9,502.69,38493.06,47196.65,2.03
100,48,3094.4,0.9,512.17,38498.72,47205.26,2.03
110,24,3087.59,0.59,494.98,38485.22,10.53,1.79
110,42,3094.4,0.59,502.69,38493.06,10.53,2.03
110,48,3094.4,0.59,512.17,38498.72,11.48,2.03
120,24,3087.59,0.59,108.65,18.28,10.53,1.2
120,42,3094.4,0.59,109.25,18.28,10.53,1.2
120,48,3094.4,0.59,111.23,20.02,11.48,1.2
120,56,3423.65,0.93,111.23,23.51,12.44,1.86
130,24,3087.59,0.36,108.65,18.28,10.53,1.2
130,42,3094.4,0.36,109.25,18.28,10.53,1.2
130,48,3094.4,0.36,111.23,20.02,11.48,1.2
130,56,3423.65,0.63,111.23,23.51,12.44,1.86
130,62,3433.62,0.63,112.02,23.51,13.4,1.86
140,24,1158.57,0.36,108.65,18.28,10.53,1.2
140,42,1161.19,0.36,109.25,18.28,10.53,1.2
140,48,1161.19,0.36,111.23,20.02,11.48,1.2
140,56,1336.5,0.63,111.23,23.51,12.44,1.86
140,62,1343.32,0.63,112.02,23.51,13.4,1.86
140,67,1343.32,0.63,135.16,26.12,13.4,1.86
